session_id,user_id,target_voice,target_speed,recording_id,submission_ordinal,cosine_distance,delta_f0_mean,delta_f0_range,delta_hnr,delta_spectral_tilt,delta_loudness,coaching_text,created_at
2,2,am_michael,0.9,1,1,0.434020434,-11.18231583,-0.244073778,-2.297636271,-7.369075775,0.485179156,"Your average pitch on this attempt sits about 11.2 semitones below the target. On your next recording, let your voice lift by thinking of the sound arcing forward and upward — place it behind your front teeth rather than in your throat. Read the passage again and allow yourself to reach for the upper end of your comfortable range on stressed syllables, and notice whether the center settles higher.",7/27/2026 8:47
2,2,am_michael,0.9,2,2,0.422498694,-8.896076202,-0.183782294,-3.916105151,-3.50188446,0.850829691,"Your average pitch on this attempt sits about 8.9 semitones below the target. On your next recording, let your voice lift by thinking of the sound arcing forward and upward — place it behind your front teeth rather than in your throat. Read the passage again and allow yourself to reach for the upper end of your comfortable range on stressed syllables, and notice whether the center settles higher.",7/29/2026 8:50
2,2,am_michael,0.9,3,3,0.433267853,-9.733423233,-0.216050521,-4.616896868,-3.340705872,0.790790051,"Your average pitch on this attempt sits about 9.7 semitones below the target. On your next recording, let your voice lift by thinking of the sound arcing forward and upward — place it behind your front teeth rather than in your throat. Read the passage again and allow yourself to reach for the upper end of your comfortable range on stressed syllables, and notice whether the center settles higher.",7/31/2026 8:50
3,3,af_bella,1,4,1,0.517144941,-13.17996407,-0.011784837,-6.990652382,1.668292999,0.481540382,"Your average pitch on this attempt sits about 13.2 semitones below the target. On your next recording, let your voice lift by thinking of the sound arcing forward and upward — place it behind your front teeth rather than in your throat. Read the passage again and allow yourself to reach for the upper end of your comfortable range on stressed syllables, and notice whether the center settles higher.",7/27/2026 18:42
3,3,af_bella,1,5,2,0.512582938,-12.66940689,0.019721925,-7.535260528,3.005764008,0.534143925,"Your average pitch on this attempt sits about 12.7 semitones below the target. On your next recording, let your voice lift by thinking of the sound arcing forward and upward — place it behind your front teeth rather than in your throat. Read the passage again and allow yourself to reach for the upper end of your comfortable range on stressed syllables, and notice whether the center settles higher.",7/29/2026 18:40
3,3,af_bella,1,6,3,0.505011452,-7.845556259,0.11638166,-6.532619715,3.489767075,0.53012526,"Your average pitch on this attempt sits about 7.8 semitones below the target. On your next recording, let your voice lift by thinking of the sound arcing forward and upward — place it behind your front teeth rather than in your throat. Read the passage again and allow yourself to reach for the upper end of your comfortable range on stressed syllables, and notice whether the center settles higher.",7/31/2026 18:50
4,4,am_adam,1,7,1,0.392924912,-4.532377243,-0.157016933,-1.26485936,-4.840291977,0.36137259,"The brightness of your voice on this attempt is below the target by about 4.84 alpha-ratio units. On your next recording, brighten the tone by letting resonance move forward in your mouth — think of the sound sitting just behind your front teeth, or of projecting to a point above the listener's eye level. Try the passage again with a slightly more open upper-resonance space and notice whether the sound becomes cleaner and more forward-placed.",7/27/2026 12:47
4,4,am_adam,1,8,2,0.33326327,-3.959085464,-0.112931728,-0.877350688,-2.647143364,0.456605911,"Your average pitch on this attempt sits about 4.0 semitones below the target. On your next recording, let your voice lift by thinking of the sound arcing forward and upward — place it behind your front teeth rather than in your throat. Read the passage again and allow yourself to reach for the upper end of your comfortable range on stressed syllables, and notice whether the center settles higher.",7/29/2026 12:40
4,4,am_adam,1,9,3,0.343574894,-4.943822861,-0.107637241,-1.92987448,-3.429811478,0.173088551,"Your average pitch on this attempt sits about 4.9 semitones below the target. On your next recording, let your voice lift by thinking of the sound arcing forward and upward — place it behind your front teeth rather than in your throat. Read the passage again and allow yourself to reach for the upper end of your comfortable range on stressed syllables, and notice whether the center settles higher.",7/31/2026 12:49
exported 9 recordings,,,,,,,,,,,,,
